Country/Region,Date,R,ci_95_u,ci_95_l,ci_65_u,ci_65_l,days_infectious,last_updated
France,2020-03-01,2.3688781097565026,2.7239762338901405,2.016439119262301,2.5381326697961097,2.2030611026294302,5,2021-06-22
France,2020-03-02,2.366544921253461,2.7021155863421664,2.0333368842549566,2.5254726278047053,2.2096236315995714,5,2021-06-22
France,2020-03-03,2.3686103999411654,2.686422568698456,2.0484842849353777,2.5207398041342746,2.2165078805839507,5,2021-06-22
France,2020-03-04,2.3850883639374496,2.6950231221854923,2.069979756159254,2.5326076614768924,2.2379322092675245,5,2021-06-22
France,2020-03-05,2.395740177983112,2.701074131099509,2.091238397255693,2.541196758541337,2.2498165161075585,5,2021-06-22
France,2020-03-06,2.3811625125741167,2.679930944081007,2.086073709934171,2.52345717871672,2.23969885017746,5,2021-06-22
France,2020-03-07,2.3691627306270115,2.6598768795769345,2.0811564540852245,2.507308960231972,2.2310774413589685,5,2021-06-22
France,2020-03-08,2.3337503629471983,2.6154714453452845,2.05275440426964,2.468712892249876,2.2009754255060296,5,2021-06-22
France,2020-03-09,2.296436582034696,2.572750088213253,2.021762611300132,2.4282868496157537,2.1648257278004417,5,2021-06-22
France,2020-03-10,2.275007930015507,2.5457812060389893,2.003364185850743,2.4055168800844564,2.146053710320781,5,2021-06-22
France,2020-03-11,2.246416882667045,2.516698825256641,1.975824087096368,2.374611679107169,2.1189545576957176,5,2021-06-22
France,2020-03-12,2.2173156464998702,2.4813616440068564,1.9535017944791224,2.3444025532887727,2.0902031211026904,5,2021-06-22
France,2020-03-13,2.2145585914101247,2.4876051009101023,1.9470866617687608,2.343716265453861,2.086784600482124,5,2021-06-22
France,2020-03-14,2.165830039157613,2.4329020091929574,1.90307098231876,2.2914861902789285,2.039176322613651,5,2021-06-22
France,2020-03-15,2.1219969649415646,2.3905309462741684,1.85959667166564,2.2465447199085116,1.9975377433420385,5,2021-06-22
France,2020-03-16,2.0912236558777635,2.3581848521865765,1.8308857700502164,2.215929112089792,1.9675685033564705,5,2021-06-22
France,2020-03-17,2.025412345794492,2.2824911963019545,1.7682713519756932,2.147665809388137,1.9028403058910528,5,2021-06-22
France,2020-03-18,1.96192289479334,2.2157829024785984,1.7096066763538609,2.0824149882324017,1.8421597521094668,5,2021-06-22
France,2020-03-19,1.9018787900538432,2.155363490059262,1.6515864560736235,2.02089274185329,1.7815057478440868,5,2021-06-22
France,2020-03-20,1.8372015151820649,2.0896024676959755,1.5828080144133247,1.9552654860406733,1.7190911999116387,5,2021-06-22
France,2020-03-21,1.7932014544517634,2.0424149602466652,1.5416189310071362,1.911624500542584,1.6760335497007806,5,2021-06-22
France,2020-03-22,1.7556235646118297,2.006408680244561,1.5083800161378376,1.874278301285609,1.6364462754582338,5,2021-06-22
France,2020-03-23,1.7048304428917058,1.956460328170684,1.4554347019528522,1.8234140937729035,1.5862039899269944,5,2021-06-22
France,2020-03-24,1.6559561900667268,1.9077646556317047,1.4066940585113514,1.7750041477491898,1.5370605636570058,5,2021-06-22
France,2020-03-25,1.6128978776419456,1.8660889735588029,1.3582158583113175,1.7317039836398256,1.4940676007680531,5,2021-06-22
France,2020-03-26,1.5696341730012295,1.8222970078290068,1.3147604246981253,1.6883417420357625,1.4484878700983113,5,2021-06-22
France,2020-03-27,1.5217111170364004,1.774776417711028,1.267292755274456,1.6415012031941545,1.4012891643643222,5,2021-06-22
France,2020-03-28,1.4812249889352225,1.734929182151645,1.2250915892006689,1.6015657733358757,1.3612030516507052,5,2021-06-22
France,2020-03-29,1.4375236959215734,1.6920426380541969,1.1785816421968518,1.5591178174040283,1.3165246060876774,5,2021-06-22
France,2020-03-30,1.394117268345249,1.646257118354186,1.1333458201241495,1.5163965236627772,1.271189067881198,5,2021-06-22
France,2020-03-31,1.3527386719036647,1.6108896993217887,1.0885231710345251,1.4758669777032491,1.2285444508383887,5,2021-06-22
France,2020-04-01,1.298679004555646,1.5591591508962903,1.029104466461115,1.4246094925431494,1.1741093519589525,5,2021-06-22
France,2020-04-02,1.2443625246709535,1.5152920964242007,0.9658425144156324,1.3740969754180663,1.1159134743367063,5,2021-06-22
France,2020-04-03,1.2042568221435823,1.4792596805378155,0.9161261915377752,1.3371530268956835,1.0737101883711175,5,2021-06-22
